index,Name,Year Drafted,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
828,Othella Harrington,1996.0,57.0,15.1,4.8,2.0,3.6,54.9,0.0,0.1,0,0.9,1.4,60.5,1.3,2.2,3.5,0.3,0.2,0.4,1.0,6.0
829,Erick Dampier,1996.0,72.0,14.6,5.1,1.8,4.7,39.0,0.0,0.0,100,1.5,2.3,63.7,1.3,2.8,4.1,0.6,0.3,1.0,1.2,6.2
830,Tony Delk,1996.0,61.0,14.2,5.4,2.0,4.2,46.5,0.9,1.8,46.4,0.7,0.8,82.4,0.5,1.1,1.6,1.6,0.6,0.1,1.1,5.9
831,Samaki Walker,1996.0,43.0,14.0,5.0,1.9,4.3,44.4,0.0,0.0,0,1.1,1.7,64.9,1.1,2.3,3.4,0.4,0.3,0.5,0.9,5.7
832,Todd Fuller,1996.0,75.0,12.7,4.1,1.5,3.5,42.9,0.0,0.0,0,1.0,1.5,69.1,1.4,1.9,3.3,0.3,0.1,0.3,0.7,4.9
833,John Wallace,1996.0,68.0,11.6,4.8,1.8,3.5,51.7,0.0,0.1,50,1.2,1.6,71.8,0.8,1.5,2.3,0.5,0.3,0.4,1.1,5.0
834,Derek Fisher,1996.0,80.0,11.5,3.9,1.3,3.3,39.7,0.3,0.9,30.1,1.0,1.5,65.8,0.3,0.9,1.2,1.5,0.5,0.1,0.9,3.8
835,Steve Nash,1996.0,65.0,10.5,3.3,1.1,2.7,42.3,0.4,0.8,41.8,0.6,0.8,82.4,0.2,0.7,1.0,2.1,0.3,0.0,1.0,4.0
836,Ray Owes,1996.0,57.0,10.4,3.1,1.3,3.2,41.7,0.0,0.1,20,0.5,0.8,56.5,1.1,1.7,2.9,0.3,0.3,0.3,0.4,4.2
837,Jermaine O'Neal,1996.0,45.0,10.2,4.1,1.5,3.4,45.1,0.0,0.0,0,1.0,1.7,60.3,0.9,1.9,2.8,0.2,0.0,0.6,0.6,4.5
838,Malik Rose,1996.0,54.0,9.7,3.0,1.1,2.4,47.7,0.0,0.0,0,0.7,1.1,61.3,1.3,1.7,3.0,0.6,0.5,0.3,0.8,5.0
839,Brett Szabo,1996.0,70.0,9.5,2.2,0.8,1.7,44.6,0.0,0.0,0,0.6,0.9,73.8,0.8,1.6,2.4,0.2,0.2,0.5,0.6,3.7
840,Darvin Ham,1996.0,36.0,8.8,2.3,0.9,1.7,53.2,0.0,0.0,0,0.5,1.0,48.6,0.8,0.8,1.6,0.4,0.3,0.2,0.6,2.8
841,Martin Muursepp,1996.0,42.0,8.3,3.7,1.3,3.1,41.2,0.1,0.6,16.7,1.0,1.7,62.9,0.8,0.8,1.6,0.5,0.3,0.3,0.4,3.5
842,Steve Hamer,1996.0,35.0,7.7,2.2,0.9,1.6,52.6,0.0,0.1,0,0.5,0.8,55.2,0.5,1.2,1.7,0.2,0.1,0.1,0.4,2.7
843,Mark Bradtke,1996.0,36.0,7.0,1.6,0.7,1.6,43.1,0.0,0.0,0,0.3,0.4,69.2,0.7,1.2,1.9,0.2,0.1,0.1,0.3,2.7
844,Shane Heal,1996.0,43.0,5.5,1.7,0.6,2.3,26.8,0.5,1.5,30.8,0.1,0.1,60.0,0.0,0.4,0.4,0.8,0.1,0.1,0.4,1.0
845,Walter McCarty,1996.0,35.0,5.5,1.8,0.7,1.9,38.2,0.1,0.4,28.6,0.2,0.4,57.1,0.2,0.4,0.7,0.4,0.2,0.3,0.5,1.5
846,Priest Lauderdale,1996.0,35.0,5.1,3.2,1.4,2.5,55.1,0.0,0.0,0,0.4,0.7,56.5,0.5,0.8,1.2,0.3,0.0,0.3,1.1,2.5
847,Damon Stoudamire,1995.0,70.0,40.9,19.0,6.9,16.1,42.6,1.9,4.8,39.5,3.4,4.2,79.7,0.8,3.2,4.0,9.3,1.4,0.3,3.8,20.1
848,Michael Finley,1995.0,82.0,39.2,15.0,5.7,11.9,47.6,0.7,2.3,32.8,3.0,3.9,74.9,1.7,2.9,4.6,3.5,1.0,0.4,1.6,15.7
849,Jerry Stackhouse,1995.0,72.0,37.5,19.2,6.3,15.2,41.4,1.3,4.1,31.8,5.4,7.2,74.7,1.3,2.4,3.7,3.9,1.1,1.1,3.5,14.7
850,Joe Smith,1995.0,82.0,34.4,15.3,5.7,12.5,45.8,0.1,0.3,35.7,3.7,4.8,77.3,3.7,5.1,8.7,1.0,1.0,1.6,1.7,18.1
851,Bryant Reeves,1995.0,77.0,31.9,13.3,5.2,11.4,45.7,0.0,0.0,0,2.8,3.9,73.2,2.3,5.1,7.4,1.4,0.6,0.7,2.0,14.1
852,Tyus Edney,1995.0,80.0,31.0,10.8,3.8,9.3,41.2,0.7,1.8,36.8,2.5,3.2,78.2,0.8,1.7,2.5,6.1,1.1,0.0,2.4,12.0
853,Antonio McDyess,1995.0,76.0,30.0,13.4,5.6,11.6,48.5,0.0,0.1,0,2.2,3.2,68.3,3.0,4.5,7.5,1.0,0.7,1.5,2.0,15.1
854,Kevin Garnett,1995.0,80.0,28.7,10.4,4.5,9.2,49.1,0.1,0.4,28.6,1.3,1.9,70.5,2.2,4.1,6.3,1.8,1.1,1.6,1.4,14.6
855,Rasheed Wallace,1995.0,65.0,27.5,10.1,4.2,8.7,48.7,0.4,1.3,32.9,1.2,1.8,65.0,1.4,3.2,4.7,1.3,0.7,0.8,1.6,10.8
856,Brent Barry,1995.0,79.0,24.0,10.1,3.6,7.6,47.4,1.6,3.7,41.6,1.4,1.7,81.0,0.5,1.6,2.1,2.9,1.2,0.3,1.5,10.8
857,Arvydas Sabonis,1995.0,73.0,23.8,14.5,5.4,9.9,54.5,0.5,1.4,37.5,3.2,4.2,75.7,2.0,6.0,8.1,1.8,0.9,1.1,2.1,18.6
858,Eric Williams,1995.0,64.0,23.0,10.7,3.8,8.5,44.1,0.0,0.2,30,3.1,4.7,67.1,1.4,2.0,3.4,1.1,0.9,0.2,1.4,8.6
859,Kurt Thomas,1995.0,74.0,22.4,9.0,3.7,7.4,50.1,0.0,0.0,0,1.6,2.4,66.3,1.6,4.3,5.9,0.6,0.6,0.5,1.3,10.9
860,Ashraf Amaya,1995.0,54.0,20.4,6.3,2.2,4.7,48.0,0.0,0.0,0,1.8,2.8,65.1,2.1,3.5,5.6,0.6,0.4,0.2,1.1,8.6
861,Alan Henderson,1995.0,79.0,17.9,6.4,2.4,5.5,44.2,0.0,0.0,0,1.5,2.5,59.5,2.1,2.4,4.5,0.6,0.6,0.5,1.1,7.4
862,Gary Trent,1995.0,69.0,17.7,7.5,3.2,6.2,51.3,0.0,0.1,0,1.1,2.0,55.3,1.2,2.2,3.4,0.7,0.4,0.2,1.3,6.9
863,Loren Meyer,1995.0,72.0,17.6,5.0,2.0,4.6,43.9,0.0,0.2,27.3,1.0,1.4,68.6,1.6,2.8,4.4,0.8,0.3,0.4,0.9,7.0
864,Theo Ratliff,1995.0,75.0,17.4,4.5,1.7,3.1,55.7,0.0,0.0,0,1.1,1.6,70.8,1.5,2.5,4.0,0.2,0.2,1.6,0.8,7.9
865,Anthony Goldwire,1995.0,42.0,14.8,5.5,1.8,4.5,40.2,0.8,2.0,39.8,1.1,1.4,76.7,0.2,0.8,1.0,2.7,0.4,0.0,1.5,5.0
866,Bob Sura,1995.0,79.0,14.6,5.3,1.9,4.6,41.1,0.3,1.0,34.6,1.3,1.8,70.2,0.4,1.3,1.7,2.9,0.7,0.3,1.5,6.3
867,Don Reid,1995.0,69.0,14.4,3.8,1.5,2.7,56.7,0.0,0.0,0,0.7,1.1,66.2,1.1,1.8,2.9,0.2,0.7,0.6,0.6,6.0
868,Jimmy King,1995.0,62.0,14.0,4.5,1.8,4.1,43.1,0.1,0.5,14.7,0.9,1.2,70.1,0.7,1.1,1.8,1.4,0.3,0.2,1.0,4.6
869,Shawn Respert,1995.0,62.0,13.6,4.9,1.8,4.7,38.7,0.7,2.0,34.4,0.6,0.7,83.3,0.5,0.7,1.2,1.1,0.5,0.1,0.7,4.1
870,Cherokee Parks,1995.0,64.0,13.6,3.9,1.6,3.9,40.9,0.1,0.4,26.9,0.6,1.0,66.1,1.0,2.3,3.4,0.5,0.4,0.5,0.5,5.5
871,Lawrence Moten,1995.0,44.0,13.0,6.6,2.5,5.6,45.3,0.4,1.3,32.7,1.1,1.7,65.3,0.8,0.6,1.4,1.1,0.7,0.2,1.0,5.3
872,George Zidek,1995.0,71.0,12.5,4.0,1.5,3.5,42.3,0.0,0.0,0,1.0,1.3,76.3,1.0,1.6,2.6,0.2,0.1,0.1,0.5,4.1
873,Greg Ostertag,1995.0,57.0,11.6,3.6,1.5,3.2,47.3,0.0,0.0,0,0.6,0.9,66.7,1.0,2.1,3.1,0.1,0.1,1.1,0.4,5.6
874,Corliss Williamson,1995.0,53.0,11.5,5.6,2.4,5.1,46.6,0.0,0.1,0,0.9,1.6,56.0,1.1,1.1,2.2,0.4,0.2,0.2,1.4,3.7
875,Terrence Rencher,1995.0,36.0,11.3,2.9,0.9,2.8,33.0,0.3,0.8,31,0.9,1.3,67.4,0.3,1.0,1.2,1.5,0.4,0.1,1.2,2.7
876,Mark Davis,1995.0,57.0,10.0,3.3,1.0,2.6,36.9,0.1,0.2,30.8,1.3,2.0,63.8,1.0,1.2,2.2,0.8,0.7,0.4,1.2,3.8
877,Chris Carr,1995.0,60.0,9.8,4.0,1.5,3.6,41.5,0.2,0.7,26.2,0.8,1.0,81.7,0.5,1.3,1.7,0.7,0.2,0.1,0.7,3.7
878,Travis Best,1995.0,59.0,9.7,3.7,1.2,2.8,42.3,0.1,0.4,32,1.3,1.5,83.3,0.2,0.6,0.7,1.6,0.3,0.1,1.1,3.6
879,Jason Caffey,1995.0,57.0,9.6,3.2,1.2,2.8,43.8,0.0,0.0,0,0.7,1.2,58.8,0.9,1.1,1.9,0.4,0.2,0.1,0.8,3.0
880,Cory Alexander,1995.0,60.0,9.3,2.8,1.1,2.6,40.6,0.4,1.1,39.4,0.3,0.4,64.0,0.2,0.6,0.7,2.0,0.5,0.0,1.1,3.2
881,Eric Snow,1995.0,43.0,9.0,2.7,1.0,2.3,42.0,0.0,0.2,20,0.7,1.1,59.2,0.2,0.8,1.0,1.7,0.7,0.0,0.9,3.3
882,Jerome Allen,1995.0,41.0,8.8,2.6,0.9,2.6,34.3,0.2,0.8,30.3,0.6,0.9,72.2,0.1,0.5,0.6,1.2,0.5,0.1,0.8,2.3
883,Junior Burrough,1995.0,61.0,8.1,3.1,1.0,2.8,37.6,0.0,0.0,0,1.0,1.5,65.6,0.7,1.0,1.8,0.2,0.3,0.2,0.7,2.6
884,Lou Roe,1995.0,49.0,7.6,1.8,0.7,1.8,35.6,0.0,0.2,22.2,0.5,0.7,75.0,0.6,1.0,1.6,0.3,0.2,0.2,0.3,2.4
885,Marques Bragg,1995.0,53.0,7.0,2.5,1.0,2.3,45.0,0.0,0.0,0,0.4,0.8,56.1,0.7,0.8,1.5,0.2,0.3,0.1,0.5,2.5
886,Todd Mundt,1995.0,33.0,4.6,1.1,0.5,1.2,39.0,0.0,0.0,0,0.2,0.2,62.5,0.3,0.5,0.8,0.1,0.1,0.1,0.1,1.3
887,Grant Hill,1994.0,70.0,38.3,19.9,7.3,15.2,47.7,0.1,0.4,14.8,5.3,7.3,73.2,1.8,4.6,6.4,5.0,1.8,0.9,2.9,21.2
888,Glenn Robinson,1994.0,80.0,37.0,21.9,8.0,17.6,45.1,1.1,3.4,32.1,5.0,6.2,79.6,2.1,4.3,6.4,2.5,1.4,0.3,3.9,17.7
889,Juwan Howard,1994.0,65.0,36.1,17.0,7.0,14.3,48.9,0.0,0.1,0,3.0,4.5,66.4,2.8,5.6,8.4,2.5,0.8,0.2,2.5,17.6
890,Jason Kidd,1994.0,79.0,33.8,11.7,4.2,10.8,38.5,0.9,3.3,27.2,2.4,3.5,69.8,1.9,3.5,5.4,7.7,1.9,0.3,3.2,16.1
891,Lamond Murray,1994.0,81.0,31.6,14.1,5.4,13.5,40.2,0.8,2.7,29.8,2.5,3.3,75.4,1.6,2.7,4.4,1.6,0.9,0.7,2.0,10.8
892,Eddie Jones,1994.0,64.0,31.0,14.0,5.3,11.6,46.0,1.4,3.8,37,1.9,2.6,72.2,1.2,2.7,3.9,2.0,2.0,0.6,1.2,14.4
893,Eric Montross,1994.0,78.0,29.7,10.0,3.9,7.4,53.4,0.0,0.0,0,2.1,3.4,63.5,2.5,4.7,7.3,0.5,0.4,0.8,1.4,12.8
894,Donyell Marshall,1994.0,72.0,29.0,12.6,4.8,12.2,39.4,1.0,3.4,28.4,2.0,3.1,66.2,1.9,3.7,5.6,1.5,0.6,1.2,1.6,11.5
895,Brian Grant,1994.0,80.0,28.6,13.2,5.2,10.1,51.1,0.0,0.1,25,2.9,4.5,63.6,2.6,4.9,7.5,1.2,0.6,1.4,2.0,15.4
896,Sharone Wright,1994.0,79.0,25.9,11.4,4.6,9.8,46.5,0.0,0.1,0,2.3,3.6,64.5,2.4,3.6,6.0,0.6,0.5,1.3,1.9,11.4
897,Wesley Person,1994.0,78.0,23.1,10.4,4.0,8.2,48.4,1.5,3.4,43.6,1.0,1.3,79.2,0.9,1.7,2.6,1.3,0.6,0.3,1.0,9.8
898,Clifford Rozier,1994.0,66.0,22.6,6.8,2.9,5.9,48.5,0.0,0.1,28.6,1.0,2.3,44.7,3.0,4.3,7.4,0.7,0.5,0.6,1.4,10.3
899,Jalen Rose,1994.0,81.0,22.2,8.2,2.8,6.2,45.4,0.4,1.4,31.6,2.1,2.9,73.9,0.7,2.0,2.7,4.8,0.8,0.3,2.0,10.6
900,Khalid Reeves,1994.0,67.0,21.8,9.2,3.1,6.9,44.3,1.0,2.6,39.2,2.1,2.9,71.4,0.8,2.0,2.8,4.3,1.1,0.1,2.0,10.9
901,Michael Smith,1994.0,82.0,21.2,6.9,2.7,5.0,54.2,0.0,0.0,0,1.5,3.2,48.5,2.1,3.8,5.9,0.8,0.7,0.6,1.3,9.8
902,Carlos Rogers,1994.0,49.0,20.8,8.9,3.7,6.9,52.9,0.0,0.3,14.3,1.6,3.0,52.1,2.2,3.5,5.7,0.8,0.5,1.1,1.7,10.5
903,Chris Childs,1994.0,53.0,19.3,5.8,2.0,5.3,38.0,0.8,2.4,32.8,1.0,1.4,75.3,0.3,1.0,1.3,4.1,0.8,0.1,1.4,7.1
904,Aaron McKie,1994.0,45.0,18.4,6.5,2.6,5.8,44.4,0.2,0.6,39.3,1.1,1.6,68.5,0.8,2.1,2.9,2.0,0.8,0.4,0.9,7.9
905,Ryan Lorthridge,1994.0,37.0,18.2,7.4,2.9,6.0,47.5,0.1,0.4,21.4,1.5,2.4,64.8,0.6,1.3,1.9,2.7,0.8,0.0,1.5,7.2
906,Derrick Alston,1994.0,64.0,16.1,4.7,1.9,4.0,46.5,0.0,0.1,0,0.9,1.9,49.2,1.5,1.9,3.4,0.5,0.6,0.6,0.8,5.8
907,Anthony Tucker,1994.0,62.0,15.8,3.9,1.5,3.4,45.7,0.0,0.0,0,0.8,1.3,61.4,0.7,2.0,2.7,1.1,0.7,0.2,0.9,5.4
908,Greg Minor,1994.0,63.0,15.0,6.0,2.5,4.8,51.5,0.0,0.2,16.7,1.0,1.2,83.3,0.8,1.4,2.2,1.0,0.5,0.3,0.7,6.7
909,Eric Piatkowski,1994.0,81.0,14.9,7.0,2.5,5.6,44.1,0.9,2.4,37.4,1.1,1.4,78.3,0.8,0.9,1.6,1.0,0.5,0.2,0.8,6.0
910,B.J. Tyler,1994.0,55.0,14.7,3.5,1.3,3.4,38.1,0.3,0.9,31.4,0.6,0.9,70.0,0.2,0.9,1.1,3.2,0.7,0.0,1.8,4.4
911,Eric Mobley,1994.0,46.0,12.8,3.9,1.7,2.9,59.1,0.0,0.0,100,0.5,1.0,48.9,1.2,2.1,3.3,0.5,0.2,0.6,0.5,6.3
912,Monty Williams,1994.0,41.0,12.3,3.3,1.5,3.2,45.1,0.0,0.2,0,0.4,0.9,44.7,1.0,1.4,2.4,1.2,0.5,0.1,1.0,4.2
913,Anthony Miller,1994.0,46.0,11.5,4.1,1.5,2.9,53.0,0.0,0.1,40,1.0,1.7,61.8,1.5,1.8,3.3,0.8,0.4,0.1,0.8,6.0
914,Howard Eisley,1994.0,49.0,11.3,2.4,0.8,2.5,32.8,0.2,0.8,24.3,0.6,0.8,77.5,0.2,0.7,1.0,1.9,0.4,0.1,1.0,3.0
915,Bill Curley,1994.0,53.0,11.2,2.7,1.1,2.5,43.3,0.0,0.0,0,0.5,0.7,75.0,1.0,1.3,2.3,0.5,0.4,0.4,0.5,4.2
916,Jamie Watson,1994.0,60.0,11.2,3.3,1.3,2.5,50.0,0.1,0.3,26.3,0.6,0.9,67.9,0.3,1.0,1.2,1.0,0.6,0.2,0.8,3.8
917,Tony Dumas,1994.0,58.0,10.6,4.6,1.7,4.3,38.4,0.4,1.3,30.1,0.9,1.3,64.9,0.6,0.5,1.1,1.0,0.2,0.1,0.9,2.9
918,Dickey Simpkins,1994.0,59.0,9.9,3.5,1.3,3.1,42.4,0.0,0.0,0,0.8,1.2,69.4,1.0,1.5,2.6,0.6,0.2,0.1,0.8,4.0
919,Jim McIlvaine,1994.0,55.0,9.7,1.7,0.6,1.3,47.9,0.0,0.0,0,0.5,0.7,68.3,0.7,1.2,1.9,0.2,0.2,1.1,0.3,3.9
920,Dwayne Morton,1994.0,41.0,9.6,4.1,1.2,3.1,38.8,0.2,0.6,36,1.4,2.1,68.2,0.5,0.9,1.4,0.4,0.3,0.4,0.7,3.3
921,Darrin Hancock,1994.0,46.0,9.2,3.3,1.5,2.6,56.2,0.0,0.1,33.3,0.3,0.8,41.0,0.3,0.8,1.2,0.7,0.4,0.1,0.7,3.3
922,Tim Breaux,1994.0,42.0,8.1,3.0,1.1,2.9,37.2,0.1,0.6,24,0.8,1.2,65.3,0.4,0.4,0.8,0.4,0.3,0.1,0.4,2.0
923,Trevor Ruffin,1994.0,49.0,6.5,4.8,1.7,4.0,42.6,0.8,2.0,38.4,0.6,0.8,71.1,0.2,0.3,0.5,1.0,0.3,0.0,1.0,3.0
924,Brooks Thompson,1994.0,38.0,6.5,3.1,1.2,3.0,39.5,0.5,1.5,31,0.2,0.3,66.7,0.2,0.4,0.6,1.1,0.3,0.1,0.7,2.5
925,Zan Tabak,1994.0,37.0,4.9,2.0,0.6,1.4,45.3,0.0,0.0,0,0.7,1.2,61.4,0.6,0.9,1.5,0.1,0.1,0.2,0.5,2.2
926,Anfernee Hardaway,1993.0,82.0,36.8,16.0,6.2,13.3,46.6,0.6,2.3,26.7,3.0,4.0,74.2,2.3,3.0,5.4,6.6,2.3,0.6,3.6,19.2
927,Jamal Mashburn,1993.0,79.0,36.7,19.2,7.1,17.5,40.6,1.1,3.8,28.4,3.9,5.5,69.9,1.4,3.1,4.5,3.4,1.1,0.2,3.1,13.1
928,Nick Van Exel,1993.0,81.0,33.3,13.6,5.1,13.0,39.4,1.5,4.5,33.8,1.9,2.4,78.1,0.6,2.4,2.9,5.8,1.1,0.1,1.8,13.2
929,Chris Webber,1993.0,76.0,32.1,17.5,7.5,13.6,55.2,0.0,0.2,0,2.5,4.7,53.2,4.0,5.1,9.1,3.6,1.2,2.2,2.7,22.6
930,Vin Baker,1993.0,82.0,31.2,13.5,5.3,10.6,50.1,0.0,0.1,20,2.9,5.0,56.9,3.4,4.2,7.6,2.0,0.7,1.4,2.0,15.7
931,Isaiah Rider,1993.0,79.0,30.6,16.6,6.6,14.1,46.8,0.7,1.9,36,2.7,3.4,81.1,1.5,2.5,4.0,2.6,0.7,0.3,2.8,13.3
932,Dino Radja,1993.0,80.0,28.8,15.1,6.1,11.8,52.1,0.0,0.0,0,2.8,3.8,75.1,2.4,4.8,7.2,1.4,0.9,0.8,1.9,17.0
933,Shawn Bradley,1993.0,49.0,28.3,10.3,4.1,10.0,40.9,0.0,0.1,0,2.1,3.4,60.7,2.0,4.2,6.2,2.0,0.9,3.0,3.0,12.2
934,Lindsey Hunter,1993.0,82.0,26.5,10.3,4.1,10.9,37.5,0.8,2.5,33.3,1.3,1.7,73.2,0.6,1.7,2.3,4.8,1.5,0.1,2.2,9.4
935,Chris Mills,1993.0,79.0,25.6,9.4,3.6,8.6,41.9,0.5,1.5,31.1,1.7,2.2,77.8,1.7,3.4,5.1,1.6,0.7,0.6,1.1,10.8
936,George Lynch,1993.0,71.0,24.8,9.6,4.1,8.1,50.8,0.0,0.1,0,1.4,2.3,59.6,3.1,2.7,5.8,1.4,1.4,0.4,1.2,12.4
937,P.J. Brown,1993.0,79.0,24.7,5.7,2.1,5.1,41.5,0.0,0.1,16.7,1.5,1.9,75.7,2.4,3.9,6.2,1.2,0.9,1.2,0.9,10.8
938,Calbert Cheaney,1993.0,65.0,24.7,12.0,5.0,10.7,47.0,0.0,0.4,4.3,1.9,2.5,77.0,1.4,1.6,2.9,1.9,1.0,0.1,1.7,10.1
939,Toni Kukoc,1993.0,75.0,24.1,10.9,4.2,9.7,43.1,0.4,1.6,27.1,2.1,2.8,74.3,1.3,2.7,4.0,3.4,1.1,0.4,2.2,11.2
940,Bo Outlaw,1993.0,37.0,23.5,6.9,2.6,4.5,58.7,0.0,0.1,0,1.6,2.8,59.2,2.2,3.5,5.7,1.0,1.0,1.0,0.8,11.8
941,Popeye Jones,1993.0,81.0,21.9,5.8,2.4,5.0,47.9,0.0,0.0,0,1.0,1.3,72.9,3.7,3.8,7.5,1.2,0.8,0.4,1.2,11.5
942,Antonio Davis,1993.0,81.0,21.4,7.7,2.7,5.2,50.8,0.0,0.0,0,2.4,3.7,64.2,2.3,3.9,6.2,0.7,0.6,1.0,1.3,11.0
943,Allan Houston,1993.0,79.0,19.2,8.5,3.4,8.5,40.5,0.4,1.5,29.9,1.1,1.4,82.4,0.2,1.3,1.5,1.3,0.4,0.2,1.3,5.3
944,Harold Ellis,1993.0,49.0,18.8,8.7,3.2,6.0,54.5,0.0,0.1,0,2.2,3.0,71.1,1.9,1.2,3.1,0.6,1.5,0.0,0.9,9.5
945,Rodney Rogers,1993.0,79.0,17.8,8.1,3.0,6.9,43.9,0.4,1.2,38,1.6,2.4,67.2,1.1,1.7,2.9,1.3,0.8,0.6,1.7,7.3
946,Mitchell Butler,1993.0,75.0,17.6,6.9,2.8,5.6,49.5,0.0,0.1,0,1.4,2.4,57.8,1.4,1.6,3.0,1.0,0.7,0.3,1.2,6.9
947,Sam Cassell,1993.0,66.0,17.0,6.7,2.5,5.9,41.8,0.4,1.3,29.5,1.4,1.6,84.1,0.4,1.7,2.0,2.9,0.9,0.1,1.4,7.5
948,Bryon Russell,1993.0,67.0,16.7,5.0,2.0,4.2,48.4,0.0,0.3,9.1,0.9,1.5,61.4,0.9,1.8,2.7,0.8,1.0,0.3,0.8,6.2
949,Darren Morningstar,1993.0,23.0,16.0,4.2,1.7,3.6,47.6,0.0,0.0,0,0.8,1.3,60.0,1.3,2.2,3.5,0.7,0.6,0.1,0.8,5.8
950,Acie Earl,1993.0,74.0,15.5,5.5,2.0,5.0,40.6,0.0,0.0,0,1.5,2.2,67.5,1.1,2.2,3.3,0.2,0.3,0.7,1.0,5.4
951,Lucious Harris,1993.0,77.0,15.1,5.4,2.1,5.0,42.1,0.1,0.4,21.2,1.1,1.5,73.1,0.6,1.5,2.0,1.4,0.6,0.1,1.0,5.3
952,Scott Burrell,1993.0,51.0,15.0,4.8,1.9,4.6,41.9,0.0,0.1,33.3,0.9,1.4,65.7,0.9,1.7,2.6,1.2,0.7,0.3,0.9,5.6
953,Warren Kidd,1993.0,68.0,13.0,3.6,1.5,2.5,59.2,0.0,0.0,0,0.7,1.3,54.7,1.1,2.3,3.4,0.3,0.3,0.3,0.7,5.7
954,Greg Graham,1993.0,70.0,12.7,4.8,1.7,4.4,40.0,0.0,0.4,8,1.3,1.6,83.6,0.3,0.9,1.2,0.9,0.9,0.1,0.9,4.1
955,Mike Peplowski,1993.0,55.0,12.1,3.2,1.4,2.6,53.9,0.0,0.0,0,0.4,0.8,54.5,0.9,2.2,3.1,0.4,0.3,0.5,0.6,5.3
956,Gheorghe Muresan,1993.0,54.0,12.0,5.6,2.4,4.4,54.5,0.0,0.0,0,0.9,1.3,67.6,1.2,2.3,3.6,0.3,0.5,0.9,1.0,7.5
957,Terry Dehere,1993.0,64.0,11.9,5.3,2.0,5.3,37.7,0.4,0.9,40.4,1.0,1.3,75.3,0.4,0.7,1.1,1.2,0.4,0.1,0.9,3.5
958,James Robinson,1993.0,58.0,11.6,4.8,1.8,4.9,36.5,0.4,1.3,31.5,0.8,1.2,67.2,0.6,0.8,1.3,1.2,0.5,0.3,0.9,3.7
959,Corie Blount,1993.0,67.0,10.3,3.0,1.1,2.6,43.7,0.0,0.0,0,0.7,1.1,61.3,1.1,1.8,2.9,0.8,0.3,0.5,0.8,4.8
960,Bob Martin,1993.0,53.0,10.1,2.1,0.8,1.7,45.5,0.0,0.0,0,0.6,1.0,60.8,0.7,1.5,2.2,0.3,0.1,0.6,0.6,3.6
961,David Wesley,1993.0,60.0,9.0,3.1,1.1,2.9,36.8,0.2,0.8,23.4,0.7,0.9,83.0,0.2,0.6,0.7,2.1,0.6,0.1,0.9,3.7
962,Chris Whitney,1993.0,40.0,8.5,1.8,0.6,2.1,30.5,0.3,0.8,33.3,0.3,0.4,80.0,0.1,0.6,0.7,1.3,0.3,0.0,0.9,1.7
963,Rex Walters,1993.0,48.0,8.0,3.4,1.3,2.4,52.2,0.3,0.6,50,0.6,0.7,82.4,0.1,0.7,0.8,1.5,0.3,0.1,0.6,4.1
964,Darnell Mee,1993.0,38.0,7.5,1.9,0.7,2.3,31.8,0.1,0.6,20.8,0.3,0.7,44.4,0.4,0.5,0.9,0.4,0.4,0.3,0.5,1.6
965,Josh Grant,1993.0,53.0,7.2,3.0,1.1,2.8,40.4,0.3,1.2,27.9,0.4,0.5,75.9,0.5,1.2,1.7,0.5,0.3,0.1,0.6,3.2
966,Ervin Johnson,1993.0,45.0,6.2,2.6,1.0,2.4,41.5,0.0,0.0,0,0.6,1.0,63.0,1.1,1.6,2.6,0.2,0.2,0.5,0.5,3.8
967,Brian Davis,1993.0,68.0,5.5,1.9,0.6,1.9,31.7,0.0,0.0,33.3,0.7,1.0,73.5,0.3,0.5,0.8,0.3,0.2,0.1,0.3,1.5
968,Eric Riley,1993.0,47.0,4.7,1.9,0.7,1.5,48.6,0.0,0.0,0,0.4,0.8,54.1,0.5,0.7,1.3,0.2,0.1,0.2,0.3,2.2
969,Shaquille O'Neal,1992.0,81.0,37.9,23.4,9.0,16.1,56.2,0.0,0.0,0,5.3,8.9,59.2,4.2,9.6,13.9,1.9,0.7,3.5,3.8,28.9
970,Latrell Sprewell,1992.0,77.0,35.6,15.4,5.8,12.6,46.4,0.9,2.6,36.9,2.7,3.7,74.6,1.0,2.5,3.5,3.8,1.6,0.7,2.6,14.7
971,Christian Laettner,1992.0,81.0,34.9,18.2,6.2,13.1,47.4,0.0,0.5,10,5.7,6.8,83.5,2.1,6.6,8.7,2.8,1.3,1.0,3.4,20.6
972,Tom Gugliotta,1992.0,81.0,34.5,14.7,6.0,14.0,42.6,0.5,1.7,28.1,2.2,3.5,64.4,2.7,6.9,9.6,3.8,1.6,0.4,2.8,18.0
973,Alonzo Mourning,1992.0,78.0,33.9,21.0,7.3,14.3,51.1,0.0,0.0,0,6.3,8.1,78.1,3.4,6.9,10.3,1.0,0.3,3.5,3.0,24.3
974,LaPhonso Ellis,1992.0,82.0,33.5,14.7,5.9,11.7,50.4,0.0,0.2,15.4,2.9,3.9,74.8,3.3,5.7,9.1,1.8,0.9,1.4,1.9,19.2
